symbol,time_utc,price,bias,line_val,sma14,sma25,sma99,sma200,dist_ma99_pct,dist_ma200_pct,close_break_pct,span,chg24,entry,reclaim_3,pnl_15m,pnl_30m,pnl_1h,pnl_2h,pnl_4h,pnl_8h,pnl_12h
BICO/USDT,2026-08-09 02:30,0.06909,22.19,0.071496,0.069296,0.067933,0.062024,0.059635,11.39,15.86,3.37,13,21.66,0.0691,True,-5.71635311143272,-3.863965267727939,1.013024602026038,-2.14182344428366,-5.007235890014479,30.043415340086828,39.71056439942112
BMT/USDT,2026-08-09 06:00,0.01515,29.44,0.016,0.015154,0.014868,0.013699,0.013397,10.59,13.09,5.31,17,19.95,0.01515,False,1.2541254125412602,-12.409240924092407,-39.66996699669968,-24.02640264026403,-69.37293729372936,-43.6963696369637,-121.5841584158416
BMT/USDT,2026-08-09 18:00,0.03357,78.24,0.037325,0.033798,0.031174,0.026099,0.021247,28.62,58.0,10.06,11,154.9,0.03358,False,0.5955926146515748,-1.1911852293031702,-3.1864204883859486,-3.722453841572368,-1.5187611673615353,,
BMT/USDT,2026-08-09 20:00,0.03483,65.34,0.03619,0.034917,0.03449,0.02829,0.023774,23.12,46.5,3.76,10,165.47,0.03485,True,2.324246771879478,-13.802008608321383,-10.358680057388815,2.1807747489239504,,,
BMT/USDT,2026-08-09 22:00,0.03409,66.26,0.034618,0.034794,0.035723,0.031119,0.026324,9.55,29.5,1.53,15,159.83,0.03411,True,0.4690706537672249,-0.2931691586045029,7.3292289651128755,,,,
BTW/USDT,2026-08-09 08:40,0.17738,14.36,0.191278,0.178958,0.184703,0.198463,0.196106,-10.62,-9.55,7.27,17,17.64,0.17728,False,5.488492779783387,-0.8066335740072286,2.995261732851975,3.8018953068592034,-3.9485559566787036,-15.23578519855596,-23.223149819494594
COOKIE/USDT,2026-08-09 12:10,0.013503,16.54,0.013961,0.013699,0.013529,0.012497,0.012345,8.05,9.38,3.28,12,42.41,0.013502,False,2.569989631165754,-1.259072729965931,-0.7184120870982067,4.2512220411790835,8.398755739890383,-14.049770404384532,
COOKIE/USDT,2026-08-09 20:05,0.015146,31.27,0.015886,0.015719,0.015561,0.01364,0.013018,11.04,16.35,4.66,28,30.85,0.015139,False,1.6183367461523248,0.5020146641125549,-1.8825549904220922,-4.491710152586037,,,
CYS/USDT,2026-08-09 23:10,1.1743,25.51,1.2389,1.188407,1.164852,1.080668,0.999899,8.66,17.44,5.21,14,22.22,1.174,False,-0.6388415672913171,-4.770017035775132,,,,,
IOTX/USDT,2026-08-09 02:25,0.00373,60.04,0.004133,0.003737,0.003341,0.002744,0.002574,35.91,44.89,9.74,12,67.94,0.003735,False,-1.659973226238286,-3.748326639892903,7.255689424364123,11.539491298527443,8.701472556894249,18.152610441767074,20.6425702811245
MMT/USDT,2026-08-09 07:00,0.2276,14.87,0.234343,0.230693,0.227604,0.210656,0.209046,8.04,8.88,2.88,14,-1.34,0.2275,False,-1.4945054945054885,-1.0109890109890094,0.17582417582418086,3.6923076923077005,4.13186813186814,3.2967032967032996,4.7912087912088
MUBARAK/USDT,2026-08-09 11:00,0.01948,28.65,0.020636,0.019579,0.019628,0.017931,0.016731,8.64,16.43,5.6,21,33.88,0.01949,False,1.1287839917906692,0.05130836326320981,-0.8209338122113927,6.567470497691123,-4.463827603899432,-22.524371472550015,-30.425859415084666
MUBARAK/USDT,2026-08-09 18:15,0.02476,37.45,0.025657,0.024796,0.024292,0.021013,0.019217,17.83,28.85,3.5,13,63.11,0.02476,False,-1.3327948303715687,3.917609046849766,5.81583198707593,7.310177705977379,-3.8772213247172815,,
ON/USDT,2026-08-09 12:25,0.39629,20.81,0.409734,0.397131,0.38862,0.355075,0.34358,11.61,15.34,3.28,21,19.58,0.39629,False,-1.3525448535163722,-2.8867748366095554,0.8907618158419284,10.29296727144263,8.127886143985457,7.143758358777664,
TST/USDT,2026-08-09 03:20,0.01921,30.94,0.020707,0.01924,0.018464,0.01661,0.015969,15.65,20.3,7.23,9,54.3,0.0192,False,3.2812499999999933,2.9166666666666567,5.104166666666658,8.28124999999999,15.208333333333329,14.427083333333323,16.406250000000004
TST/USDT,2026-08-09 20:20,0.02061,43.85,0.021972,0.021789,0.020626,0.01733,0.017124,18.92,20.36,6.2,16,34.88,0.02062,False,-3.0552861299709124,-7.1290009699321,-4.219204655674099,-1.1154219204655724,,,
TUT/USDT,2026-08-09 07:55,0.17808,147.7,0.22468,0.178766,0.179392,0.144132,0.112922,23.55,57.7,20.74,18,260.56,0.17803,False,15.418749648935576,7.549289445599062,-2.4153232601246972,12.318148626635963,2.988260405549622,17.89024321743526,-4.965455260349388
TUT/USDT,2026-08-09 19:55,0.18687,31.46,0.201276,0.191898,0.182699,0.164315,0.164115,13.73,13.87,7.16,17,136.66,0.18685,False,-1.3807867273213803,3.7356168049237284,3.00240834894299,-1.8196414236018272,-8.065293015788066,,
XAN/USDT,2026-08-09 10:00,0.017386,18.91,0.017767,0.017455,0.01717,0.015872,0.01517,9.54,14.61,2.15,14,20.33,0.017388,True,-2.2371750632620224,-3.4506556245686673,-5.175983436852991,-14.487002530480794,1.5470439383482968,-11.778237865194372,-15.901771336553946
龙虾/USDT,2026-08-09 22:45,0.022774,15.38,0.023551,0.023018,0.022932,0.020892,0.02048,9.01,11.2,3.3,12,-6.92,0.022774,False,0.11855624835338213,6.38447352243787,4.746640906296648,,,,
