symbol,time_utc,price,bias,line_val,sma14,close_break_pct,neck_chg_pct,span,sma25,sma99,dist_ma99_pct,sma200,dist_ma200_pct,sma200_slope_pct,entry,reclaim_3,pnl_15m,pnl_30m,pnl_1h,pnl_2h,pnl_4h,pnl_8h,pnl_12h
CAP/USDT,2026-08-11 02:55,0.04432,7.75,0.048075,0.046783,7.81,3.07,30,0.045763,0.045264,-2.08,0.0449,-1.29,-0.191,0.04425,False,-5.310734463276848,-5.333333333333336,-7.118644067796611,-7.186440677966107,-7.299435028248596,-19.977401129943505,
CYS/USDT,2026-08-11 01:20,1.2919,16.83,1.3678,1.313,6.47,5.78,14,1.293152,1.261266,2.43,1.190384,8.53,3.81,1.2956,False,1.4819388700216196,-0.7023772769373174,0.023155294844102267,-1.6748996603889958,-2.956159308428527,-6.151589996912618,-12.341772151898727
CYS/USDT,2026-08-11 01:50,1.3047,16.83,1.3996,1.313357,8.17,5.78,14,1.301008,1.265951,3.06,1.201617,8.58,3.899,1.3069,False,0.351977963118826,0.8875966026474906,0.6656974519856095,-1.0712372790573121,-2.341418624225263,-5.585737240798833,-9.113168566837555
CYS/USDT,2026-08-11 05:40,1.3294,9.78,1.36395,1.327643,2.67,2.53,8,1.323256,1.299913,2.27,1.244207,6.85,1.05,1.3314,False,-0.5558059185819493,-0.4206098843322855,-0.8487306594562181,1.119122727955529,-4.529067147363679,-7.540934354814485,
CYS/USDT,2026-08-11 13:00,1.449,12.51,1.47724,1.462621,2.62,-0.16,10,1.458668,1.375158,5.37,1.333366,8.67,2.083,1.4477,False,-1.146646404641842,-1.2502590315673139,2.0100849623540724,,,,
BICO/USDT,2026-08-11 02:10,0.04221,6.88,0.043405,0.043123,2.78,-1.16,12,0.043098,0.04255,-0.8,0.042353,-0.34,0.115,0.04221,False,-0.37905709547500693,3.2930585169391033,2.345415778251594,-22.29329542762379,-2.298033641317237,9.381663113006393,8.7656953328595
BICO/USDT,2026-08-11 04:55,0.04914,22.31,0.049447,0.04954,1.83,-1.59,12,0.046874,0.043747,12.33,0.042868,14.63,1.429,0.0491,False,5.9877800407331945,5.234215885947039,6.945010183299381,14.378818737270871,20.264765784114054,22.708757637474545,
BLESS/USDT,2026-08-11 00:50,0.013758,7.97,0.013949,0.013723,2.37,2.34,12,0.013602,0.013326,3.24,0.013138,4.72,1.319,0.013758,True,-1.6935601104811788,-3.5542956825119925,1.0539322575955756,-1.3737461840383773,9.710713766535823,8.271551097543249,5.204244803023693
BLESS/USDT,2026-08-11 04:45,0.012403,13.26,0.012379,0.012702,0.29,-10.54,23,0.01352,0.013608,-8.86,0.013406,-7.48,0.636,0.012403,True,0.08868822059179708,-0.12093848262516639,1.0400709505764785,-2.0559542046279127,-1.7415141498024602,-5.1922921873740115,
GUA/USDT,2026-08-11 01:50,0.05489,21.63,0.055772,0.056355,2.12,-13.51,23,0.059741,0.056194,-2.32,0.055816,-1.66,4.261,0.05489,True,-1.8946984878848592,-5.902714519948988,-0.8198214611040245,-3.7893969757697183,4.900710511932953,8.653670978320283,15.194024412461285
龙虾/USDT,2026-08-11 00:00,0.028905,5.98,0.029307,0.028862,1.89,-0.09,19,0.028958,0.028926,-0.07,0.028998,-0.32,3.668,0.028891,False,-0.05884185386452409,2.955937835312037,3.575507943650269,7.292928593679697,2.682496279118069,12.488318161365132,25.080474888373537
PUMP/USDT,2026-08-11 06:45,0.002874,5.54,0.00294,0.002878,2.33,2.59,13,0.002852,0.002812,2.21,0.002793,2.89,0.639,0.002872,False,-0.38300835654596654,-0.38300835654596654,1.2186629526462351,2.3676880222841197,4.038997214484672,,
