symbol,time_utc,horizon,bars,entry,exit,pnl_pct,pnl_at_signal_close,mfe_pct,mae_pct,bias
TUT/USDT,2026-08-09 07:55,15m,3,0.17803,0.15058,15.418749648935576,15.442497753818508,20.238162107509975,7.217884626186597,147.7
TUT/USDT,2026-08-09 07:55,30m,6,0.17803,0.16459,7.549289445599062,7.575247079964063,23.99595573779699,7.217884626186597,147.7
TUT/USDT,2026-08-09 07:55,1h,12,0.17803,0.18233,-2.4153232601246972,-2.3865678346810446,23.99595573779699,9.138909172611362,147.7
TUT/USDT,2026-08-09 07:55,2h,24,0.17803,0.1561,12.318148626635963,12.342767295597485,23.99595573779699,9.138909172611362,147.7
TUT/USDT,2026-08-09 07:55,4h,48,0.17803,0.17271,2.988260405549622,3.015498652291097,23.99595573779699,9.138909172611362,147.7
TUT/USDT,2026-08-09 07:55,8h,96,0.17803,0.14618,17.89024321743526,17.913297394429463,23.99595573779699,9.138909172611362,147.7
TUT/USDT,2026-08-09 07:55,12h,144,0.17803,0.18687,-4.965455260349388,-4.935983827493273,23.99595573779699,19.485479975285063,147.7
TUT/USDT,2026-08-09 08:25,15m,3,0.16459,0.18407,-11.835469955647381,-11.835469955647381,0.2126496141928363,13.287563035421352,147.7
TUT/USDT,2026-08-09 08:25,30m,6,0.16459,0.18233,-10.77829758794581,-10.77829758794581,0.2126496141928363,18.05091439334104,147.7
TUT/USDT,2026-08-09 08:25,1h,12,0.16459,0.16957,-3.0257002248010285,-3.0257002248010285,0.2126496141928363,18.05091439334104,147.7
TUT/USDT,2026-08-09 08:25,2h,24,0.16459,0.15271,7.217935476031336,7.217935476031336,17.70459930736983,18.05091439334104,147.7
TUT/USDT,2026-08-09 08:25,4h,48,0.16459,0.17657,-7.278692508657889,-7.278692508657889,17.70459930736983,18.05091439334104,147.7
TUT/USDT,2026-08-09 08:25,8h,96,0.16459,0.14543,11.641047451242471,11.641047451242471,17.70459930736983,18.05091439334104,147.7
TUT/USDT,2026-08-09 08:25,12h,144,0.16459,0.17987,-9.283674585333262,-9.283674585333262,17.70459930736983,29.242359803147224,147.7
TUT/USDT,2026-08-09 19:55,15m,3,0.18685,0.18943,-1.3807867273213803,-1.3699363193663932,2.055124431362046,4.843457318704845,31.46
TUT/USDT,2026-08-09 19:55,30m,6,0.18685,0.17987,3.7356168049237284,3.745919623267515,8.96976184104897,4.843457318704845,31.46
TUT/USDT,2026-08-09 19:55,1h,12,0.18685,0.18124,3.00240834894299,3.0127896398565825,8.96976184104897,4.843457318704845,31.46
TUT/USDT,2026-08-09 19:55,2h,24,0.18685,0.19025,-1.8196414236018272,-1.8087440466634526,8.96976184104897,4.843457318704845,31.46
TUT/USDT,2026-08-09 19:55,4h,48,0.18685,0.20192,-8.065293015788066,-8.053727190025139,8.96976184104897,9.494246721969498,31.46
BICO/USDT,2026-08-09 02:30,15m,3,0.0691,0.07305,-5.71635311143272,-5.731654363873216,0.0,8.147612156295239,22.19
BICO/USDT,2026-08-09 02:30,30m,6,0.0691,0.07177,-3.863965267727939,-3.8789984078737905,0.0,8.147612156295239,22.19
BICO/USDT,2026-08-09 02:30,1h,12,0.0691,0.0684,1.013024602026038,0.9986973512809324,2.836468885672923,8.147612156295239,22.19
BICO/USDT,2026-08-09 02:30,2h,24,0.0691,0.07058,-2.14182344428366,-2.1566073237805834,4.42836468885672,8.147612156295239,22.19
BICO/USDT,2026-08-09 02:30,4h,48,0.0691,0.07256,-5.007235890014479,-5.0224345057171815,4.42836468885672,8.147612156295239,22.19
BICO/USDT,2026-08-09 02:30,8h,96,0.0691,0.04834,30.043415340086828,30.03328991170936,35.03617945007235,31.693198263386403,22.19
BICO/USDT,2026-08-09 02:30,12h,144,0.0691,0.04166,39.71056439942112,39.70183818208134,44.819102749638205,31.693198263386403,22.19
BICO/USDT,2026-08-09 07:55,15m,3,0.07082,0.06506,8.133295679186652,8.17219477769935,11.042078508895784,0.40948884495906873,43.49
BICO/USDT,2026-08-09 07:55,30m,6,0.07082,0.06601,6.791866704320807,6.831333803810864,11.91753741880824,0.40948884495906873,43.49
BICO/USDT,2026-08-09 07:55,1h,12,0.07082,0.05179,26.870940412312894,26.901905434015518,36.6139508613386,0.40948884495906873,43.49
BICO/USDT,2026-08-09 07:55,2h,24,0.07082,0.05166,27.054504377294545,27.085391672547637,36.6139508613386,0.40948884495906873,43.49
BICO/USDT,2026-08-09 07:55,4h,48,0.07082,0.04851,31.50240045184976,31.531404375441074,36.6139508613386,0.40948884495906873,43.49
BICO/USDT,2026-08-09 07:55,8h,96,0.07082,0.042,40.694719005930516,40.7198306280875,46.15927704038407,0.40948884495906873,43.49
BICO/USDT,2026-08-09 07:55,12h,144,0.07082,0.04565,35.540807681445905,35.568101623147484,46.15927704038407,0.40948884495906873,43.49
BICO/USDT,2026-08-09 08:25,15m,3,0.066,0.05201,21.1969696969697,21.208907741251323,24.57575757575758,0.7575757575757582,43.49
