symbol,time_utc,price,bias,line_val,sma14,sma25,close_break_pct,span,chg24,entry,reclaim_3,pnl_15m,pnl_30m,pnl_1h,pnl_2h,pnl_4h,pnl_8h,pnl_12h
BANK/USDT,2026-08-09 14:00,0.04252,18.48,0.043128,0.043655,0.044419,1.41,18,8.66,0.04253,False,-0.4702562896778716,-0.4232306607100861,0.9405125793557432,2.5393839642605167,6.042793322360677,6.324947096167406,
BEAT/USDT,2026-08-09 03:55,2.78,19.87,3.063,3.085714,3.11344,9.24,17,30.58,2.782,False,-5.10424155283968,-4.09777138749101,-6.362329259525524,-12.257368799424881,-16.71459381739755,-16.96621135873472,-22.21423436376707
BICO/USDT,2026-08-09 08:25,0.06601,43.49,0.081061,0.070595,0.071812,18.57,14,21.36,0.066,False,21.1969696969697,21.53030303030303,25.045454545454547,25.96969696969697,33.65151515151515,34.257575757575765,26.63636363636364
BTW/USDT,2026-08-09 08:40,0.17738,14.36,0.191278,0.178958,0.184703,7.27,17,17.64,0.17728,False,5.488492779783387,-0.8066335740072286,2.995261732851975,3.8018953068592034,-3.9485559566787036,-15.23578519855596,-23.223149819494594
COOKIE/USDT,2026-08-09 07:15,0.011625,16.84,0.011945,0.012134,0.012344,2.68,31,18.33,0.011621,False,-0.4130453489372788,-2.6417692109112814,-2.788056105326576,-4.577919284054739,-13.682127183547038,-6.316151794165738,-39.944927286808365
COOKIE/USDT,2026-08-09 12:45,0.013424,16.54,0.013945,0.013526,0.01357,3.73,12,41.78,0.013412,False,0.4473605726215406,-1.0438413361169063,4.249925439904571,6.0468237399343945,4.853862212943636,-13.704145541306287,
MUBARAK/USDT,2026-08-09 11:00,0.01948,28.65,0.020636,0.019579,0.019628,5.6,21,33.88,0.01949,False,1.1287839917906692,0.05130836326320981,-0.8209338122113927,6.567470497691123,-4.463827603899432,-22.524371472550015,-30.425859415084666
PUMP/USDT,2026-08-09 08:15,0.002482,5.8,0.002502,0.002502,0.002509,0.8,24,8.86,0.002482,False,0.40290088638195115,0.0,-0.886381950040303,-2.3368251410153236,-2.0145044319097556,-7.17163577759872,-9.709911361805009
SAGA/USDT,2026-08-09 06:20,0.01728,39.65,0.018069,0.017627,0.018888,4.37,33,28.0,0.01728,False,0.5208333333333321,2.199074074074085,6.423611111111111,0.23148148148149214,6.655092592592602,7.349537037037039,9.432870370370368
XAN/USDT,2026-08-09 13:15,0.017093,32.0,0.019235,0.019097,0.019126,11.13,21,18.76,0.017086,False,0.7667095867962026,-1.4631862343439086,-1.4631862343439086,-1.2173709469741298,-10.107690506847709,-16.88516914432868,
龙虾/USDT,2026-08-09 22:55,0.02256,15.38,0.023577,0.022935,0.02296,4.31,12,-9.4,0.022568,False,-0.37220843672455367,2.082594824530316,3.2435306628855014,,,,
