symbol,time_utc,horizon,pnl_pct,entry,bias,close_break_pct
BANK/USDT,2026-08-09 14:00,15m,-0.4702562896778716,0.04253,18.48,1.41
BANK/USDT,2026-08-09 14:00,30m,-0.4232306607100861,0.04253,18.48,1.41
BANK/USDT,2026-08-09 14:00,1h,0.9405125793557432,0.04253,18.48,1.41
BANK/USDT,2026-08-09 14:00,2h,2.5393839642605167,0.04253,18.48,1.41
BANK/USDT,2026-08-09 14:00,4h,6.042793322360677,0.04253,18.48,1.41
BANK/USDT,2026-08-09 14:00,8h,6.324947096167406,0.04253,18.48,1.41
BEAT/USDT,2026-08-09 03:55,15m,-5.10424155283968,2.782,19.87,9.24
BEAT/USDT,2026-08-09 03:55,30m,-4.09777138749101,2.782,19.87,9.24
BEAT/USDT,2026-08-09 03:55,1h,-6.362329259525524,2.782,19.87,9.24
BEAT/USDT,2026-08-09 03:55,2h,-12.257368799424881,2.782,19.87,9.24
BEAT/USDT,2026-08-09 03:55,4h,-16.71459381739755,2.782,19.87,9.24
BEAT/USDT,2026-08-09 03:55,8h,-16.96621135873472,2.782,19.87,9.24
BEAT/USDT,2026-08-09 03:55,12h,-22.21423436376707,2.782,19.87,9.24
BICO/USDT,2026-08-09 08:25,15m,21.1969696969697,0.066,43.49,18.57
BICO/USDT,2026-08-09 08:25,30m,21.53030303030303,0.066,43.49,18.57
BICO/USDT,2026-08-09 08:25,1h,25.045454545454547,0.066,43.49,18.57
BICO/USDT,2026-08-09 08:25,2h,25.96969696969697,0.066,43.49,18.57
BICO/USDT,2026-08-09 08:25,4h,33.65151515151515,0.066,43.49,18.57
BICO/USDT,2026-08-09 08:25,8h,34.257575757575765,0.066,43.49,18.57
BICO/USDT,2026-08-09 08:25,12h,26.63636363636364,0.066,43.49,18.57
BTW/USDT,2026-08-09 08:40,15m,5.488492779783387,0.17728,14.36,7.27
BTW/USDT,2026-08-09 08:40,30m,-0.8066335740072286,0.17728,14.36,7.27
BTW/USDT,2026-08-09 08:40,1h,2.995261732851975,0.17728,14.36,7.27
BTW/USDT,2026-08-09 08:40,2h,3.8018953068592034,0.17728,14.36,7.27
BTW/USDT,2026-08-09 08:40,4h,-3.9485559566787036,0.17728,14.36,7.27
BTW/USDT,2026-08-09 08:40,8h,-15.23578519855596,0.17728,14.36,7.27
BTW/USDT,2026-08-09 08:40,12h,-23.223149819494594,0.17728,14.36,7.27
COOKIE/USDT,2026-08-09 07:15,15m,-0.4130453489372788,0.011621,16.84,2.68
COOKIE/USDT,2026-08-09 07:15,30m,-2.6417692109112814,0.011621,16.84,2.68
COOKIE/USDT,2026-08-09 07:15,1h,-2.788056105326576,0.011621,16.84,2.68
COOKIE/USDT,2026-08-09 07:15,2h,-4.577919284054739,0.011621,16.84,2.68
COOKIE/USDT,2026-08-09 07:15,4h,-13.682127183547038,0.011621,16.84,2.68
COOKIE/USDT,2026-08-09 07:15,8h,-6.316151794165738,0.011621,16.84,2.68
COOKIE/USDT,2026-08-09 07:15,12h,-39.944927286808365,0.011621,16.84,2.68
COOKIE/USDT,2026-08-09 12:45,15m,0.4473605726215406,0.013412,16.54,3.73
COOKIE/USDT,2026-08-09 12:45,30m,-1.0438413361169063,0.013412,16.54,3.73
COOKIE/USDT,2026-08-09 12:45,1h,4.249925439904571,0.013412,16.54,3.73
COOKIE/USDT,2026-08-09 12:45,2h,6.0468237399343945,0.013412,16.54,3.73
COOKIE/USDT,2026-08-09 12:45,4h,4.853862212943636,0.013412,16.54,3.73
COOKIE/USDT,2026-08-09 12:45,8h,-13.704145541306287,0.013412,16.54,3.73
MUBARAK/USDT,2026-08-09 11:00,15m,1.1287839917906692,0.01949,28.65,5.6
MUBARAK/USDT,2026-08-09 11:00,30m,0.05130836326320981,0.01949,28.65,5.6
MUBARAK/USDT,2026-08-09 11:00,1h,-0.8209338122113927,0.01949,28.65,5.6
MUBARAK/USDT,2026-08-09 11:00,2h,6.567470497691123,0.01949,28.65,5.6
MUBARAK/USDT,2026-08-09 11:00,4h,-4.463827603899432,0.01949,28.65,5.6
MUBARAK/USDT,2026-08-09 11:00,8h,-22.524371472550015,0.01949,28.65,5.6
MUBARAK/USDT,2026-08-09 11:00,12h,-30.425859415084666,0.01949,28.65,5.6
PUMP/USDT,2026-08-09 08:15,15m,0.40290088638195115,0.002482,5.8,0.8
PUMP/USDT,2026-08-09 08:15,30m,0.0,0.002482,5.8,0.8
PUMP/USDT,2026-08-09 08:15,1h,-0.886381950040303,0.002482,5.8,0.8
PUMP/USDT,2026-08-09 08:15,2h,-2.3368251410153236,0.002482,5.8,0.8
PUMP/USDT,2026-08-09 08:15,4h,-2.0145044319097556,0.002482,5.8,0.8
PUMP/USDT,2026-08-09 08:15,8h,-7.17163577759872,0.002482,5.8,0.8
PUMP/USDT,2026-08-09 08:15,12h,-9.709911361805009,0.002482,5.8,0.8
SAGA/USDT,2026-08-09 06:20,15m,0.5208333333333321,0.01728,39.65,4.37
SAGA/USDT,2026-08-09 06:20,30m,2.199074074074085,0.01728,39.65,4.37
SAGA/USDT,2026-08-09 06:20,1h,6.423611111111111,0.01728,39.65,4.37
SAGA/USDT,2026-08-09 06:20,2h,0.23148148148149214,0.01728,39.65,4.37
SAGA/USDT,2026-08-09 06:20,4h,6.655092592592602,0.01728,39.65,4.37
SAGA/USDT,2026-08-09 06:20,8h,7.349537037037039,0.01728,39.65,4.37
SAGA/USDT,2026-08-09 06:20,12h,9.432870370370368,0.01728,39.65,4.37
XAN/USDT,2026-08-09 13:15,15m,0.7667095867962026,0.017086,32.0,11.13
XAN/USDT,2026-08-09 13:15,30m,-1.4631862343439086,0.017086,32.0,11.13
XAN/USDT,2026-08-09 13:15,1h,-1.4631862343439086,0.017086,32.0,11.13
XAN/USDT,2026-08-09 13:15,2h,-1.2173709469741298,0.017086,32.0,11.13
XAN/USDT,2026-08-09 13:15,4h,-10.107690506847709,0.017086,32.0,11.13
XAN/USDT,2026-08-09 13:15,8h,-16.88516914432868,0.017086,32.0,11.13
龙虾/USDT,2026-08-09 22:55,15m,-0.37220843672455367,0.022568,15.38,4.31
龙虾/USDT,2026-08-09 22:55,30m,2.082594824530316,0.022568,15.38,4.31
龙虾/USDT,2026-08-09 22:55,1h,3.2435306628855014,0.022568,15.38,4.31
