symbol,time_utc,price,bias,line_val,sma14,close_break_pct,span,vol_ratio,sma25,sma99,dist_ma99_pct,sma200,dist_ma200_pct,entry,reclaim_3,pnl_15m,pnl_30m,pnl_1h,pnl_2h,pnl_4h,pnl_8h,pnl_12h
BEAT/USDT,2026-08-09 03:55,2.78,19.87,3.063,3.085714,11.56,17,2.48,3.11344,2.93596,-5.31,2.80187,-0.78,2.782,False,-5.10424155283968,-4.09777138749101,-6.362329259525524,-12.257368799424881,-16.71459381739755,-16.96621135873472,-22.21423436376707
BICO/USDT,2026-08-09 08:00,0.06539,43.49,0.080029,0.073711,20.93,14,1.97,0.072952,0.069928,-6.49,0.064319,1.67,0.06539,False,2.125707294693382,2.1868787276341957,17.097415506958253,22.26640159045726,26.303716164551165,34.9135953509711,30.050466432176172
BLESS/USDT,2026-08-09 09:00,0.012983,8.2,0.014079,0.013618,10.89,7,2.32,0.013131,0.012627,2.82,0.013446,-3.44,0.012982,False,1.1631489755045454,-1.2632876290247974,-4.113387767678322,-4.644892928670462,-0.639346787860112,5.407487290093985,4.329071021414266
COOKIE/USDT,2026-08-09 01:05,0.012465,29.6,0.013536,0.013038,10.18,18,2.34,0.012793,0.011994,3.93,0.010804,15.38,0.012454,False,-3.2037899470049784,3.9344788822868084,3.9505379797655324,5.700979604946207,4.865906536052679,3.2519672394411363,-8.67994218724908
CYS/USDT,2026-08-09 23:10,1.1743,25.51,1.2389,1.188407,6.73,14,1.79,1.164852,1.080668,8.66,0.999899,17.44,1.174,False,-0.6388415672913171,-4.770017035775132,,,,,
IOTX/USDT,2026-08-09 00:45,0.002653,10.22,0.002693,0.002649,1.83,9,1.52,0.002624,0.002529,4.89,0.002454,8.12,0.002653,True,-11.194873727855256,-21.71127026008293,-45.26950621937429,-43.497926875235585,-25.66905390124388,-27.402940067847727,-10.855635130041465
MUBARAK/USDT,2026-08-09 00:50,0.0155,7.52,0.015858,0.01575,2.51,19,1.93,0.015683,0.015406,0.61,0.01506,2.92,0.0155,False,0.258064516129033,-3.0322580645161397,-3.2258064516129057,-3.8064516129032278,-5.677419354838702,-18.51612903225807,-17.290322580645174
PUMP/USDT,2026-08-09 08:50,0.002499,5.8,0.002498,0.002485,0.67,24,1.97,0.0025,0.002475,0.95,0.002434,2.65,0.0025,True,-0.3199999999999904,0.7200000000000089,-0.7599999999999968,-1.559999999999999,-3.4000000000000004,-6.800000000000001,-7.7999999999999945
PUMP/USDT,2026-08-09 21:00,0.002681,5.75,0.00269,0.002704,0.59,7,1.71,0.002705,0.002685,-0.15,0.002598,3.19,0.002681,False,0.7832898172323667,0.5967922417008563,0.1864975755315105,-0.7459903021260743,,,
SKYAI/USDT,2026-08-09 03:20,0.12348,14.24,0.13227,0.125344,9.56,10,1.7,0.123573,0.118728,4.0,0.117687,4.92,0.12344,False,-0.17822423849644511,-0.06480881399871244,5.638366817887229,5.0793907971484105,-10.46662346079068,2.4303305249513842,5.055087491898895
SKYAI/USDT,2026-08-09 08:00,0.12975,19.47,0.134277,0.130004,8.76,20,1.83,0.126384,0.12267,5.77,0.120302,7.85,0.12979,False,0.4545804761537711,2.419292703598102,1.2712843824639686,12.551043994144376,4.522690500038514,9.33045689190229,24.647507512134982
US/USDT,2026-08-09 01:35,0.04978,7.67,0.051218,0.05083,2.98,12,1.69,0.050443,0.048671,2.28,0.047892,3.94,0.04978,False,-2.3041382081157136,-2.4266773804740875,-1.771795901968664,-1.325833668139817,0.3776617115307366,2.243873041382081,3.8007231820007994
US/USDT,2026-08-09 06:25,0.049095,6.21,0.050457,0.047908,8.75,15,1.96,0.048772,0.04988,-1.57,0.048505,1.22,0.049095,True,1.079539667990636,5.803034932274157,-3.6826560749567103,-0.5377329666972204,1.8861391180364666,2.8658722884204066,5.91098889907323
XAN/USDT,2026-08-09 05:55,0.015131,8.16,0.015247,0.015402,1.76,13,3.6,0.015382,0.014877,1.71,0.014628,3.44,0.015123,True,-1.6398862659525222,-2.320968061892486,-4.0798783310189854,-12.193347880711501,-15.473120412616545,-15.215235072406264,-28.393837201613444
XAN/USDT,2026-08-09 13:10,0.017652,32.0,0.019219,0.019321,9.32,21,1.85,0.019185,0.017268,2.22,0.015996,10.35,0.017652,False,2.8212100611828794,1.6542034896895568,2.5606163607523285,2.130070246997515,-4.945615227736226,-15.403353727622926,
XAN/USDT,2026-08-09 21:00,0.020364,16.88,0.02055,0.020345,2.77,7,1.53,0.019979,0.018649,9.2,0.01786,14.02,0.020368,True,1.9491358994501253,2.5333857030636246,1.0555773762765117,-1.3550667714061195,,,
